zone_id,name,geometry
10006,K7 - 5702,"POLYGON ((-111.935005 33.422001, -111.934006 33.422001, -111.934006 33.421001, -111.935005 33.421001, -111.935005 33.422001))"
10011,K12 - 4479,"POLYGON ((-111.935005 33.417000, -111.934006 33.417000, -111.934006 33.416000, -111.935005 33.416000, -111.935005 33.417000))"
10012,K13 - 15796,"POLYGON ((-111.935005 33.416000, -111.934006 33.416000, -111.934006 33.415001, -111.935005 33.415001, -111.935005 33.416000))"
10013,K14 - 11300,"POLYGON ((-111.935005 33.415001, -111.934006 33.415001, -111.934006 33.414001, -111.935005 33.414001, -111.935005 33.415001))"
10014,K15 - 8305,"POLYGON ((-111.935005 33.414001, -111.934006 33.414001, -111.934006 33.413002, -111.935005 33.413002, -111.935005 33.414001))"
10015,K16 - 900,"POLYGON ((-111.935005 33.413002, -111.934006 33.413002, -111.934006 33.412003, -111.935005 33.412003, -111.935005 33.413002))"
10016,K17 - 794,"POLYGON ((-111.935005 33.412003, -111.934006 33.412003, -111.934006 33.411003, -111.935005 33.411003, -111.935005 33.412003))"
10017,K18 - 6494,"POLYGON ((-111.935005 33.411003, -111.934006 33.411003, -111.934006 33.410000, -111.935005 33.410000, -111.935005 33.411003))"
10018,K19 - 6425,"POLYGON ((-111.935005 33.410000, -111.934006 33.410000, -111.934006 33.409000, -111.935005 33.409000, -111.935005 33.410000))"
11002,L3 - 10427,"POLYGON ((-111.934006 33.426003, -111.933006 33.426003, -111.933006 33.425003, -111.934006 33.425003, -111.934006 33.426003))"
11003,L4 - 10431,"POLYGON ((-111.934006 33.425003, -111.933006 33.425003, -111.933006 33.424000, -111.934006 33.424000, -111.934006 33.425003))"
11005,L6 - 5890,"POLYGON ((-111.934006 33.423000, -111.933006 33.423000, -111.933006 33.422001, -111.934006 33.422001, -111.934006 33.423000))"
11006,L7 - 5728,"POLYGON ((-111.934006 33.422001, -111.933006 33.422001, -111.933006 33.421001, -111.934006 33.421001, -111.934006 33.422001))"
11009,L10 - 3203,"POLYGON ((-111.934006 33.419003, -111.933006 33.419003, -111.933006 33.418003, -111.934006 33.418003, -111.934006 33.419003))"
11010,L11 - 15081,"POLYGON ((-111.934006 33.418003, -111.933006 33.418003, -111.933006 33.417000, -111.934006 33.417000, -111.934006 33.418003))"
11011,L12 - 4496,"POLYGON ((-111.934006 33.417000, -111.933006 33.417000, -111.933006 33.416000, -111.934006 33.416000, -111.934006 33.417000))"
11012,L13 - 6046,"POLYGON ((-111.934006 33.416000, -111.933006 33.416000, -111.933006 33.415001, -111.934006 33.415001, -111.934006 33.416000))"
11013,L14 - 6064,"POLYGON ((-111.934006 33.415001, -111.933006 33.415001, -111.933006 33.414001, -111.934006 33.414001, -111.934006 33.415001))"
11014,L15 - 8319,"POLYGON ((-111.934006 33.414001, -111.933006 33.414001, -111.933006 33.413002, -111.934006 33.413002, -111.934006 33.414001))"
11015,L16 - 887,"POLYGON ((-111.934006 33.413002, -111.933006 33.413002, -111.933006 33.412003, -111.934006 33.412003, -111.934006 33.413002))"
11016,L17 - 809,"POLYGON ((-111.934006 33.412003, -111.933006 33.412003, -111.933006 33.411003, -111.934006 33.411003, -111.934006 33.412003))"
11018,L19 - 1819,"POLYGON ((-111.934006 33.410000, -111.933006 33.410000, -111.933006 33.409000, -111.934006 33.409000, -111.934006 33.410000))"
12003,M4 - 10449,"POLYGON ((-111.933006 33.425003, -111.932007 33.425003, -111.932007 33.424000, -111.933006 33.424000, -111.933006 33.425003))"
12004,M5 - 10470,"POLYGON ((-111.933006 33.424000, -111.932007 33.424000, -111.932007 33.423000, -111.933006 33.423000, -111.933006 33.424000))"
12005,M6 - 5864,"POLYGON ((-111.933006 33.423000, -111.932007 33.423000, -111.932007 33.422001, -111.933006 33.422001, -111.933006 33.423000))"
12006,M7 - 5754,"POLYGON ((-111.933006 33.422001, -111.932007 33.422001, -111.932007 33.421001, -111.933006 33.421001, -111.933006 33.422001))"
